Placement,Name,Score,Time
1,masmaves,134955,48:00.6
2,xing er,135055,47:03.3
3,RandomRain,135290,50:04.7
4,I'm sorry,139525,48:36.8
5,blackberry,148690,70:34.2
6,raspberry,151665,64:01.4
7,Anti-NATO,160455,50:32.5
8,bicker,163975,45:26.7
9,eenies,192350,42:52.8
10,Patthebigmonke,194605,54:17.8
11,Feinberg,194670,67:58
12,g5odaM,199925,65:30.5
13,MKsomething,200765,79:02.2
14,xgg,201080,47:46.8
15,TheProz2006,203620,71:09
16,Tompa,204375,70:38.5
17,--Thefool--,205600,43:54.4
18,MrPlasma,209060,46:07.3
19,sumermonkey,210530,64:14.9
20,L01Y,210950,51:45.1
21,chan,211335,77:24.6
22,Alex,212450,69:43.1
23,SquashMyMouse,212530,66:14.6
24,zuimeng,214455,46:18.9
25,Hopper,216450,38:29.3
26,JALSG,216525,41:36.7
27,Darth Plagueis,217105,40:48.5
28,Nos,220470,12:36.1
29,No_Message,222375,42:28.7
30,Rampatse,223995,43:15.6
31,SupremeAvocado,224025,48:43.2
32,Hyperion,224135,51:29.3
33,Takagi,224325,53:42
34,ILoveThisGame,224420,46:28.4
35,Khaos,224525,54:26.9
36,Calone,225135,47:54.1
37,NIK,226100,71:06.1
38,Trychnos,226125,45:48
39,22Unicore,226895,44:28
40,EOH,227025,54:58.1
41,Player,227335,66:41.8
42,Nidotron,227465,52:45.1
43,moto4ok,227495,49:03.9
44,Algi,227710,41:43.9
45,McMahon,227770,46:32
46,c0ntext,227885,39:49.6
47,Maistas,227885,40:08.7
48,SHEEEEEESH,227890,43:51.9
49,Alec,227890,44:41.8
50,Rain,227905,51:48.1
51,PurpleDolphin49,227905,56:34.7
52,Kronus_qr,227925,45:33.5
53,karu7210,227925,47:00.3
54,Dixu,227925,49:24
55,bell0214,227925,49:44.3
56,gazza_white,227925,55:14.6
57,Punji :),227925,55:36.9
58,Adr3n4lyn,227925,57:47.1
59,Player7916100,227940,41:03.6
60,Bartitex,227975,49:40.5
61,ImToe,228035,60:36.6
62,PSI,228060,47:22.2
63,PeachPanda4409,228060,55:35.7
64,rvcn_47,228075,44:04.3
65,SirMeese,228080,46:29
66,chocbox,228080,53:49.5
67,AtomicHolz,228085,52:37.2
68,Alyserse,228100,46:22.5
69,Amatore,228100,50:04.7
70,NorseVelraptor,228100,58:28.3
71,jacobclang38,228110,46:25.4
72,L A V I N,228115,54:24
73,Player,228140,56:05
74,BitBit,228175,65:35.2
75,Lekro22,228270,44:38.8
76,MelissaFofuras,228275,45:39.1
77,Cha-Suble,228275,50:22.1
78,Vonek,228275,50:57.5
79,Barry lay yt,228275,58:02.3
80,Westvirginia,228420,42:42.4
81,Vert,228445,50:58.4
82,Speed D,228500,55:34.5
83,FireRed,228510,50:22.1
84,BlonsEnjoyer,229405,50:48.3
85,VanBummel,230220,55:50
86,chickenshark,230630,40:53.9
87,Jonat5555,230660,49:14.5
88,flippyfrog_,230695,41:18.4
89,Cerulean,230855,42:52.4
90,SHEEEEEESH,230980,39:17.7
91,paul19991019,231010,52:04
92,The Brady,231090,48:15.3
93,Emmac,231110,43:22.7
94,Diego27kpro,231110,57:36.6
95,TUYU,231130,50:21.5
96,Dzax,231130,51:48.5
97,RezeaL,231130,55:31.5
98,HOYHOY,231180,52:26.5
99,IceAce4088,231225,47:29.4
100,CRYSTLCSTLES,231230,56:52.4
101,NIH,231245,52:51.2
102,Battles2master,231245,52:57.9
103,Brogrammer,231270,47:00.6
104,NichtLars,231290,56:10.1
105,Mr FarmR,231400,57:10.4
106,Geriz,231595,47:13
107,TTV SigwilKat,231830,49:29.8
108,JIMBOB III,231830,54:54.6
109,MonkeLOL,231915,51:33.9
110,Santag,232050,49:24.1
111,Niek065,232265,55:00.1
112,VioletHero3484,233500,47:55
113,Cyrkill,233850,43:08.3
114,Mrqfish,234100,45:27.8
115,Alone,234105,35:17.5
116,Banana_gun101,234255,75:14.9
117,186934,234480,46:53
118,Ballon Bambino,234780,47:12.2
119,publicship,235215,53:58.9
120,Nice,235255,40:45.5
121,Wrath,235545,53:46.4
122,Redfoxyboi,235740,43:40
123,Matrix ;),235915,48:52.8
124,C0nRad,235930,67:42.6
125,IamNotRandy,236330,39:44.6
126,Dracula,236925,41:45.5
127,SpiderDude,237140,43:48.9
128,DANIEL,237400,52:28.1
129,vanillaface,237695,39:15.6
130,Pyro,238595,59:24.2
131,Panserbjorne,238970,36:12
132,DogFriendJan,242120,49:08.3
133,Flame,242155,59:46.2
134,Karma!,242640,42:02.2
135,Tay1232,242815,48:18
136,TecRider,242995,39:14
137,denninosimus,243005,50:24.3
138,ChaCam,243080,53:59.8
139,WarTec,243090,43:09
140,MamaParagonT,243100,49:13.6
141,DomeCanister,243100,50:05.9
142,43Ahmed4344,243115,58:49.6
143,Scott,243175,42:59.1
144,EL,243195,47:25.4
145,Spagublio,243470,51:28.6
146,Monke,243530,53:47.8
147,Lifeissweets,244095,59:38.4
148,Skywalker,244145,55:34
149,Moench,244545,43:01.9
150,Cool Eggs,244550,53:22.8
151,FeedMePi314,244705,47:43.6
152,Ocrotica,245365,52:32.9
153,Jandalf,245405,45:03.6
154,uvclive,245555,38:33.7
155,mathwhizzz2015,245625,51:02.9
156,Scuba Doo,245685,57:55.7
157,Mars,246055,42:36.8
158,Blue_Destroyer,246090,47:19
159,5irL4ffal0t,246090,53:31.8
160,George4tee,246130,48:42
161,cha$,246130,58:24.4
162,Filipus,246225,43:55.6
163,NobleArrgon,246245,58:52.6
164,Psychodelik,246440,49:40.8
165,pearlforx,246460,44:52.3
166,Dart monke,246460,57:46.9
167,Kloster,246550,39:16.1
168,BOMBA,246595,47:15.6
169,SplashyExpert,246700,43:36.5
170,emanolo,246925,49:44.2
171,halo-ali,246930,56:20.9
172,druck3r,247095,47:10.3
173,2632490895,247285,36:04.9
174,HeroicTiger3545,247320,41:51.7
175,LogicLogin,247425,43:31.4
176,MyKoStick,247545,43:57.2
177,ILikeCheese:D,247920,39:30.9
178,Klugeee;,248325,40:40.8
179,YEETUS_S,248445,42:58.3
180,Player,248925,57:56.5
181,NobleSquire3759,249300,51:30
182,IloveNaturez,249755,52:30.3
183,mitashhh,249780,40:32.7
184,Meta_Kirby37,249935,43:15.5
185,Playerzmz100,250485,33:43.5
186,YeetDaNoob,250705,47:51.6
187,RLinfinity,251775,59:31.1
188,SaxDrawing,251905,35:22.2
189,Hunter,252770,41:03.1
190,Jaydenz3,253325,38:18.4
191,song,253375,42:16.6
192,Dihzzy,253470,46:53.9
193,Samurai__Po-,253500,47:33.7
194,METAL FACE,253885,37:13.1
195,Dakota Jackson,254550,40:19.1
196,snk90013,254895,63:28.2
197,--Crosser--,254995,51:32.7
198,VeDAN,255035,33:51.5
199,sss0me,255040,46:10.9
200,Hot Salsa,255080,43:30.2
201,giuliovhr,255210,39:26.3
202,dsero,255485,38:28.8
203,Knopper,255990,51:56.2
204,G-GOAT,256155,36:41
205,Reiva,256558,40:03.6
206,HolyHerb,257395,42:58.4
207,QuintonMaxwell,258315,43:58.6
208,CIRCO*bruNera,258365,12:15.7
209,Pullis,259120,48:02.6
210,Boi,259250,42:56.8
211,saif13128,259290,59:50.3
212,Player3243660,259295,50:25
213,Ciapek,260280,56:19.1
214,cheemzy,260355,46:11.5
215,DeadExecutor,260505,46:33.2
216,TheIvyX,260610,44:07.8
217,TheRacistRacer,260890,53:51.5
218,Player6350819,261030,42:54.7
219,Patman,261530,59:00.5
220,clragon,262795,58:58.8
221,Heartless,263073,43:44
222,9SOW,263260,41:34.7
223,LtChaos18,263505,68:14
224,Shazza,263560,51:19.2
225,EnforcerSmiley,264070,50:30.4
226,SmallPP,264200,51:22.8
227,SaltCrusher,264330,49:20.5
228,PurpleSheRa,264520,60:52.1
229,Kid_W_Pudelku,264535,62:06.9
230,WaltuhhhhWhite,264695,42:29.6
231,HunkBoy,264795,63:33.4
232,RomanBab,265285,36:26.6
233,Leolbp,266140,47:29.3
234,EWIE10,266565,46:01.8
235,Inferno_,266605,37:37.7
236,valenzus,266685,42:49.7
237,000Dartmonkey,267345,43:21.1
238,Khanh_Sky,267445,52:06
239,Will,267485,58:09.6
240,Mr. Teeny,267530,50:06.4
241,CameronD,267585,51:43.6
242,Will,267670,42:36.7
243,Acen,267810,55:08.5
244,Feitosa,267935,54:19.1
245,Dalmian,268105,42:43.6
246,LEGEND1169,268115,40:54.4
247,Xrosschoke,268185,46:47.5
248,bankennkun,268305,50:19.1
249,YoPlayer,268735,33:26.5
250,Brian Metallic,269020,54:49.8
251,MaQrL,269035,59:02.4
252,Clonne,269110,53:36
253,Th3sh1n3r,269274,43:48.8
254,CarpeDalen,269420,33:41.2
255,sBKM Arjuna,269440,55:09.5
256,QuackHab,269675,36:55.8
257,3ric.de,270430,45:51.2
258,SCARYBILLYBOB,270715,51:48
259,Spicy,270760,38:49.9
260,Yalr,271260,66:21.1
261,Poreduess,271385,57:22.5
262,ReaperVoid,271685,39:51.5
263,Jodotflash,271790,38:05.9
264,SHADOW,272390,45:24.9
265,What You Say,272850,53:42.7
266,GreatMonkey2764,272865,46:58.8
267,Viteyx,272890,46:50.8
268,Justin,272920,44:01.1
269,evan,273605,49:40.1
270,Rexter,273690,33:42.1
271,ROY G BIG 19,273710,42:48.7
